rank,cluster,violation_count,congestion_impact_index,cii_normalized,cii_density,avg_impact_score,avg_severity,junction_pct,peak_hour,centroid_lat,centroid_lon,approx_radius_m,dominant_police_station,dominant_junction,dominant_violation_type,dominant_vehicle_type,unique_vehicles
1,2,22864,101946.90000000001,100.0,74300.30166888467,4.4588392232330305,2.196990902729181,0.9781315605318405,9,12.97324589695639,77.5775700896458,660.8711407119399,Upparpet,BTP040 - Elite Junction,WRONG PARKING,SCOOTER,19558
2,3,9821,42752.9,41.9318827258289,105209.61419307711,4.353212503818349,2.200386925974952,0.8187557275226556,10,12.981958385058457,77.60781116449432,359.6500616856603,Shivajinagar,BTP051 - Safina Plaza Junction,WRONG PARKING,SCOOTER,8084
3,8,2946,15101.0,14.805927864632636,177261.94023447338,5.125933469110659,3.923285811269518,0.0,4,12.933785718926115,77.69089882541041,164.67215467988774,HAL Old Airport,No Junction,NO PARKING,SCOOTER,1965
4,15,1443,13810.0,13.539482964795576,42137.63936093341,9.57033957033957,5.065142065142065,0.0,6,12.940042507268439,77.6970759258542,322.9883084588362,HAL Old Airport,No Junction,WRONG PARKING,CAR,1385
5,48,3502,13416.0,13.152976930298442,71829.74266363481,3.830953740719589,2.049971444888635,1.0,8,12.999435194041283,77.55005970710442,243.82848104297852,Malleshwaram,BTP027 - Modi Bridge Junction,WRONG PARKING,SCOOTER,3024
6,27,3422,12940.7,12.68671723944441,41248.61998458918,3.781618936294565,2.0400350672121568,0.4552893045002922,10,13.010044438603154,77.55341709286967,316.0088435536836,Malleshwaram,No Junction,WRONG PARKING,CAR,3026
7,36,3192,11016.0,10.798625451128077,12684.829198264533,3.4511278195488724,2.024749373433584,0.0,8,13.002917893671679,77.57065630999374,525.7686845075167,Malleshwaram,No Junction,WRONG PARKING,CAR,2915
8,19,1685,10699.0,10.48765485992099,66527.59350934027,6.3495548961424335,3.1833827893175073,0.0,4,13.185395411157272,77.68011042658755,226.25373140495384,Chikkajala,No Junction,NO PARKING,CAR,1614
9,24,2143,8097.3,7.9354397585220156,22390.678585702128,3.7784881007932807,2.161455902939804,0.9384041063929072,11,12.966912542239275,77.53782947870194,339.2825712217212,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",WRONG PARKING,SCOOTER,1936
10,56,2089,6459.7,6.328987265901436,184354.34395847472,3.0922450933460985,2.164672091910005,1.0,8,12.97435288147439,77.54560834538056,105.60988032468681,Vijayanagara,BTP020 - Hosahalli Metro Station,WRONG PARKING,SCOOTER,1458
11,113,610,5359.0,5.249222818766928,185803.10943471972,8.785245901639344,5.614754098360656,0.0,10,12.996217117208216,77.66851638457334,95.81653320370059,Mahadevapura,No Junction,WRONG PARKING,PASSENGER AUTO,558
12,6,1171,4975.0,4.872526582099669,69753.27618642576,4.248505550811273,2.667805294619983,0.0,0,13.008506377327071,77.69532020927412,150.67434109771511,K.R. Pura,No Junction,WRONG PARKING,CAR,1072
13,22,1166,4852.0,4.751866068792188,11046.065662872443,4.161234991423671,2.263293310463122,0.0,4,12.973411765428978,77.61806167053571,373.92254372303364,Halasur,No Junction,NO PARKING,CAR,1020
14,254,589,4788.0,4.689083362680978,38992.86417389074,8.129032258064516,4.475382003395586,0.0,7,12.970284849720674,77.64701471916361,197.70131866034163,Jeevanbheemanagar,No Junction,NO PARKING,CAR,554
15,178,740,4765.0,4.666520827672262,192026.9718933305,6.4391891891891895,3.52027027027027,0.0,6,13.000305781059666,77.6769637904024,88.87413757014075,Mahadevapura,No Junction,NO PARKING,PASSENGER AUTO,693
16,30,939,4680.0,4.583137546118311,70025.56967656741,4.984025559105431,2.4547390841320555,1.0,4,12.959453498402556,77.5771049401491,145.8544436047233,City Market,BTP104 - Medical College Circle,WRONG PARKING,SCOOTER,859
