police_station,total_violations,total_cii,avg_severity,junction_pct,unique_locations
Upparpet,15396,90515,2.1163938685372825,0.9961678358015069,182
Shivajinagar,11021,53842,2.1729425641956266,0.8156247164504129,192
HAL Old Airport,7743,38704,3.5327392483533515,0.0,343
Malleshwaram,8470,36770,2.0543093270366,0.36977567886658796,295
Vijayanagara,6248,32571,2.129001280409731,0.95550576184379,279
City Market,6162,31062,2.2726387536514117,0.928919182083739,237
Rajajinagar,4034,21998,2.307635101636093,0.7830937035200793,358
Magadi Road,3302,15812,2.366444579043004,0.7510599636583889,237
Jeevanbheemanagar,3104,15147,3.015463917525773,0.10502577319587629,235
Chikkajala,2235,13822,3.212080536912752,0.0,37
Halasuru Gate,2331,12490,2.1205491205491205,0.9974259974259975,204
High ground,2544,12339,2.0837264150943398,0.8447327044025157,138
Mahadevapura,2153,12237,3.940083604273107,0.0,226
Jayanagara,1592,11943,2.6011306532663316,0.9685929648241206,169
Byatarayanapura,1706,10439,3.1336459554513483,0.5545134818288394,168
Chamarajpet,1387,9677,3.1059841384282625,0.9790915645277577,103
Cubbon Park,1376,8615,2.199127906976744,0.876453488372093,131
K.R. Pura,2176,7990,2.727481617647059,0.0,151
Mico Layout,1197,7959,3.0601503759398496,0.5037593984962406,133
Kodigehalli,2354,7864,2.302039082412914,0.0,218
Halasur,1793,7573,2.4590072504182934,0.09648633575013943,174
Ashok Nagar,1695,7242,2.2525073746312683,0.5716814159292035,147
Basavanagudi,1376,7178,2.1177325581395348,0.8255813953488372,115
Bellandur,1925,6782,2.2488311688311686,0.0,180
Wilson Garden,1104,5733,2.163949275362319,0.7545289855072463,132
Banaswadi,1313,5660,3.1766945925361765,0.0,163
Sheshadripuram,1260,5588,2.227777777777778,0.2563492063492063,128
Adugodi,1095,5527,2.2310502283105023,0.5863013698630137,140
HSR Layout,1921,5517,2.1426340447683496,0.0,211
Yeshwanthpura,1126,5066,3.1962699822380105,0.0,123
Pulikeshinagar(F.Town),1583,4589,2.162349968414403,0.0,162
Electronic City,1235,4465,2.8161943319838056,0.0,159
Whitefield,720,4292,3.9902777777777776,0.0,117
J.P. Nagar,648,3996,2.381172839506173,0.6975308641975309,150
Yelahanka,1159,3736,2.281276962899051,0.0,156
R.T. Nagar,927,3006,2.141316073354908,0.012944983818770227,106
Madiwala,492,2848,2.8069105691056913,0.4959349593495935,96
Hebbala,1028,2626,2.1235408560311284,0.0,62
Jnanabharathi,587,2528,2.5962521294718908,0.0,106
V.V.Puram (C.Pet),431,2382,2.1415313225058004,1.0,65
Hulimavu,750,2213,2.013333333333333,0.0,112
Kamakshipalya,632,2094,2.3164556962025316,0.13132911392405064,82
Banashankari,524,2089,2.1755725190839694,0.5801526717557252,77
Sadashivanagar,498,2068,2.4176706827309236,0.01606425702811245,89
Jalahalli,426,1819,2.948356807511737,0.0,61
K.S. Layout,341,1669,3.2111436950146626,0.1495601173020528,79
Thalagattapura,389,1371,2.3444730077120823,0.0,85
Hennuru,300,1319,3.03,0.0,75
Peenya,360,1110,2.3805555555555555,0.0,61
Devanahalli Airport,263,1070,2.0570342205323193,0.0,16
Kengeri,230,1047,3.0608695652173914,0.0,48
K.G. Halli,299,968,2.4214046822742477,0.0,70
Chikkabanavara,299,942,2.331103678929766,0.0,67
No Police Station,90,347,2.922222222222222,0.0,20
